Name|URL
Apple|https://www.gsmarena.com/apple-phones-48.php
Asus|https://www.gsmarena.com/asus-phones-46.php
Google|https://www.gsmarena.com/google-phones-107.php
Honor|https://www.gsmarena.com/honor-phones-121.php
Huawei|https://www.gsmarena.com/huawei-phones-58.php
Lenovo|https://www.gsmarena.com/lenovo-phones-73.php
LG|https://www.gsmarena.com/lg-phones-20.php
Motorola|https://www.gsmarena.com/motorola-phones-4.php
Nokia|https://www.gsmarena.com/nokia-phones-1.php
OnePlus|https://www.gsmarena.com/oneplus-phones-95.php
Oppo|https://www.gsmarena.com/oppo-phones-82.php
Realme|https://www.gsmarena.com/realme-phones-118.php
Samsung|https://www.gsmarena.com/samsung-phones-9.php
Sony|https://www.gsmarena.com/sony-phones-7.php
vivo|https://www.gsmarena.com/vivo-phones-98.php
Xiaomi|https://www.gsmarena.com/xiaomi-phones-80.php
